,avg_drop,avg_gross,best_gross,best_movie,best_pcttotal,month,month_name,num_movies,pctyr_totalgross,total_tickets,year
1908,-31.8%,$92.4,$750.2,Star Wars: The Force Awakens,62.5%,4,DECEMBER,13,11.3%,"$1,201.3",2015
1909,-48.2%,$66.0,$274.6,The Hunger Games: Mockingjay - Part 2,27.8%,4,NOVEMBER,15,9.3%,$989.4,2015
1910,-54.1%,$30.6,$226.0,The Martian,36.9%,4,OCTOBER,20,5.8%,$612.6,2015
1911,-52.2%,$42.2,$168.8,Hotel Transylvania 2,26.7%,4,SEPTEMBER,15,6.0%,$633.1,2015
1912,-46.7%,$37.3,$161.2,Straight Outta Compton,30.9%,4,AUGUST,14,4.9%,$521.6,2015
1913,-47.9%,$84.0,$336.0,Minions,26.7%,4,JULY,15,11.9%,"$1,259.9",2015
1914,-51.0%,$150.9,$652.3,Jurassic World,48.0%,4,JUNE,9,12.8%,"$1,358.3",2015
1915,-59.3%,$105.6,$459.0,Avengers: Age of Ultron,39.5%,4,MAY,11,10.9%,"$1,162.1",2015
1916,-44.1%,$45.6,$353.0,Furious 7,55.3%,4,APRIL,14,6.0%,$638.0,2015
1917,-49.3%,$67.2,$201.2,Cinderella,27.2%,4,MARCH,11,7.0%,$738.8,2015
1918,-41.4%,$64.7,$166.2,Fifty Shades of Grey,23.4%,4,FEBRUARY,11,6.7%,$711.3,2015
1919,-45.7%,$49.9,$89.3,Taken 3,11.2%,4,JANUARY,16,7.5%,$798.1,2015
1920,-31.8%,$92.4,$750.2,Star Wars: The Force Awakens,62.5%,5,DECEMBER,13,11.3%,"$1,201.3",2015
1921,-48.2%,$66.0,$274.6,The Hunger Games: Mockingjay - Part 2,27.8%,5,NOVEMBER,15,9.3%,$989.4,2015
1922,-54.1%,$30.6,$226.0,The Martian,36.9%,5,OCTOBER,20,5.8%,$612.6,2015
1923,-52.2%,$42.2,$168.8,Hotel Transylvania 2,26.7%,5,SEPTEMBER,15,6.0%,$633.1,2015
1924,-46.7%,$37.3,$161.2,Straight Outta Compton,30.9%,5,AUGUST,14,4.9%,$521.6,2015
1925,-47.9%,$84.0,$336.0,Minions,26.7%,5,JULY,15,11.9%,"$1,259.9",2015
1926,-51.0%,$150.9,$652.3,Jurassic World,48.0%,5,JUNE,9,12.8%,"$1,358.3",2015
1927,-59.3%,$105.6,$459.0,Avengers: Age of Ultron,39.5%,5,MAY,11,10.9%,"$1,162.1",2015
1928,-44.1%,$45.6,$353.0,Furious 7,55.3%,5,APRIL,14,6.0%,$638.0,2015
1929,-49.3%,$67.2,$201.2,Cinderella,27.2%,5,MARCH,11,7.0%,$738.8,2015
1930,-41.4%,$64.7,$166.2,Fifty Shades of Grey,23.4%,5,FEBRUARY,11,6.7%,$711.3,2015
1931,-45.7%,$49.9,$89.3,Taken 3,11.2%,5,JANUARY,16,7.5%,$798.1,2015
1932,-31.8%,$92.4,$750.2,Star Wars: The Force Awakens,62.5%,6,DECEMBER,13,11.3%,"$1,201.3",2015
1933,-48.2%,$66.0,$274.6,The Hunger Games: Mockingjay - Part 2,27.8%,6,NOVEMBER,15,9.3%,$989.4,2015
1934,-54.1%,$30.6,$226.0,The Martian,36.9%,6,OCTOBER,20,5.8%,$612.6,2015
1935,-52.2%,$42.2,$168.8,Hotel Transylvania 2,26.7%,6,SEPTEMBER,15,6.0%,$633.1,2015
1936,-46.7%,$37.3,$161.2,Straight Outta Compton,30.9%,6,AUGUST,14,4.9%,$521.6,2015
1937,-47.9%,$84.0,$336.0,Minions,26.7%,6,JULY,15,11.9%,"$1,259.9",2015
1938,-51.0%,$150.9,$652.3,Jurassic World,48.0%,6,JUNE,9,12.8%,"$1,358.3",2015
1939,-59.3%,$105.6,$459.0,Avengers: Age of Ultron,39.5%,6,MAY,11,10.9%,"$1,162.1",2015
1940,-44.1%,$45.6,$353.0,Furious 7,55.3%,6,APRIL,14,6.0%,$638.0,2015
1941,-49.3%,$67.2,$201.2,Cinderella,27.2%,6,MARCH,11,7.0%,$738.8,2015
1942,-41.4%,$64.7,$166.2,Fifty Shades of Grey,23.4%,6,FEBRUARY,11,6.7%,$711.3,2015
1943,-45.7%,$49.9,$89.3,Taken 3,11.2%,6,JANUARY,16,7.5%,$798.1,2015
