,month,season,year,rank,movie_title,prodco,total_tickets,numtheaters,open_tickets,opentheaters,startdate,enddate
1352,6,Summer,2010,1,Toy Story 3,BV,"52,201,900","4,028","13,998,400","4,028",6/18,12/2
1353,6,Summer,2010,2,The Twilight Saga: Eclipse,Sum.,"37,802,700","4,468","8,227,400","4,468",6/30,10/21
1354,6,Summer,2010,3,The Karate Kid,Sony,"22,212,800","3,740","7,064,200","3,663",6/11,9/23
1355,6,Summer,2010,4,Grown Ups,Sony,"20,377,500","3,534","5,140,400","3,534",6/25,10/28
1356,6,Summer,2010,5,The A-Team,Fox,"9,713,500","3,544","3,257,500","3,535",6/11,9/16
1357,6,Summer,2010,6,Knight & Day,Fox,"9,613,000","3,104","2,555,800","3,098",6/23,10/7
1358,6,Summer,2010,7,Get Him to the Greek,Uni.,"7,669,700","2,702","2,229,800","2,697",6/4,8/12
1359,6,Summer,2010,8,Killers,LGF,"5,919,500","2,859","2,009,800","2,859",6/4,8/19
1360,6,Summer,2010,9,Marmaduke,Fox,"4,232,100","3,213","1,472,000","3,213",6/4,9/16
1361,6,Summer,2010,10,Splice,WB,"2,139,600","2,450","937,200","2,450",6/4,8/5
1362,6,Summer,2010,11,Jonah Hex,WB,"1,326,700","2,825","682,700","2,825",6/18,8/12
1363,6,Summer,2010,12,Twilight/New Moon Combo (one-night-only),Sum.,"300,000","2,037",n/a,N/A,6/29,6/29
1364,7,Summer,2010,1,Inception,WB,"36,802,000","3,792","8,143,400","3,792",7/16,1/6
1365,7,Summer,2010,2,Despicable Me,Uni.,"32,594,500","3,602","7,314,800","3,476",7/9,1/20
1366,7,Summer,2010,3,The Last Airbender,Par.,"16,575,100","3,203","5,230,200","3,169",7/1,9/23
1367,7,Summer,2010,4,Salt,Sony,"14,881,900","3,612","4,670,700","3,612",7/23,10/28
1368,7,Summer,2010,5,Dinner for Schmucks,P/DW,"9,185,700","3,046","3,051,600","2,911",7/30,10/14
1369,7,Summer,2010,6,The Sorcerer's Apprentice,BV,"7,943,500","3,504","2,285,300","3,504",7/14,10/28
1370,7,Summer,2010,7,Predators,Fox,"6,541,000","2,669","3,211,500","2,669",7/9,10/14
1371,7,Summer,2010,8,Cats & Dogs: The Revenge of Kitty Galore,WB,"5,482,500","3,705","1,592,700","3,705",7/30,10/21
1372,7,Summer,2010,9,Charlie St. Cloud,Uni.,"3,919,800","2,725","1,605,900","2,718",7/30,9/16
1373,7,Summer,2010,10,Ramona and Beezus,Fox,"3,291,400","2,719","1,013,000","2,719",7/23,11/11
1374,7,Summer,2010,11,The Kids Are All Right,Focus,"2,617,800",994,"63,800",7,7/30,10/21
1375,7,Summer,2010,12,Standing Ovation,RM,"66,900",625,"44,500",623,7/16,7/29
1376,8,Fall,2010,1,The Other Guys,Sony,"14,996,200","3,651","4,610,000","3,651",8/6,11/18
1377,8,Fall,2010,2,The Expendables,LGF,"12,964,600","3,398","4,516,900","3,270",8/13,10/21
1378,8,Fall,2010,3,Eat Pray Love,Sony,"10,135,100","3,108","2,996,700","3,082",8/13,11/4
1379,8,Fall,2010,4,Takers,SGem,"7,263,500","2,206","2,660,500","2,206",8/27,11/18
1380,8,Fall,2010,5,Step Up 3-D,BV,"5,333,400","2,439","2,050,900","2,435",8/6,11/4
1381,8,Fall,2010,6,The Last Exorcism,LGF,"5,161,600","2,874","2,641,600","2,874",8/27,10/7
1382,8,Fall,2010,7,Vampires Suck,Fox,"4,611,500","3,233","1,582,700","3,233",8/18,11/11
1383,8,Fall,2010,8,Scott Pilgrim vs. the World,Uni.,"3,965,300","2,820","1,376,100","2,818",8/13,10/7
1384,8,Fall,2010,9,Nanny McPhee Returns,Uni.,"3,649,200","2,798","1,090,500","2,784",8/20,10/28
